text,left,top,width,height,right,bottom,center_x,center_y
Waived,2116,720,78,18,2194,738,2155.0,729.0
*,12,768,9,9,21,777,16.5,772.5
Over,31,763,50,18,81,781,56.0,772.0
200,89,763,40,18,129,781,109.0,772.0
pieces,138,763,66,23,204,786,171.0,774.5
of,214,763,20,18,234,781,224.0,772.0
notes,243,766,57,15,300,781,271.5,773.5
0.25%,1130,751,67,19,1197,770,1163.5,760.5
Fe,1206,751,59,46,1265,797,1235.5,774.0
ayer,1283,751,59,43,1342,794,1312.5,772.5
egeoreoee,1355,751,156,46,1511,797,1433.0,774.0
0.25%,1964,751,68,19,2032,770,1998.0,760.5
teittuc,2041,747,122,54,2163,801,2102.0,774.0
aKgeoeees,2181,751,165,46,2346,797,2263.5,774.0
Bulk,12,810,53,18,65,828,38.5,819.0
cheque,73,810,86,23,159,833,116.0,821.5
deposit,169,810,88,23,257,833,213.0,821.5
(per,266,810,47,23,313,833,289.5,821.5
customer,321,812,113,16,434,828,377.5,820.0
per,444,815,37,18,481,833,462.5,824.0
day),490,810,48,23,538,833,514.0,821.5
*,12,849,9,9,21,858,16.5,853.5
Up,32,844,29,23,61,867,46.5,855.5
to,69,847,21,15,90,862,79.5,854.5
30,99,844,25,18,124,862,111.5,853.0
cheques,133,844,90,23,223,867,178.0,855.5
Waived,1281,840,79,31,1360,871,1320.5,855.5
Waived,2116,844,78,18,2194,862,2155.0,853.0
*,12,881,9,9,21,890,16.5,885.5
Over,31,876,50,18,81,894,56.0,885.0
30,89,876,26,18,115,894,102.0,885.0
cheques,123,876,90,23,213,899,168.0,887.5
HK$1,1168,875,52,21,1220,896,1194.0,885.5
per,1234,881,33,18,1267,899,1250.5,890.0
additional,1276,876,104,18,1380,894,1328.0,885.0
cheque”,1390,872,86,27,1476,899,1433.0,885.5
HK$1,2003,875,52,21,2055,896,2029.0,885.5
per,2069,881,33,18,2102,899,2085.5,890.0
additional,2110,876,105,18,2215,894,2162.5,885.0
cheque”,2224,872,87,27,2311,899,2267.5,885.5
Renminbi,12,908,112,18,124,926,68.0,917.0
notes,135,910,64,16,199,926,167.0,918.0
deposits/withdrawals,209,908,256,23,465,931,337.0,919.5
Waived,2116,908,79,18,2195,926,2155.5,917.0
Foreign,12,940,87,23,99,963,55.5,951.5
currency,109,945,104,18,213,963,161.0,954.0
notes,222,942,64,16,286,958,254.0,950.0
deposits/withdrawals,296,940,257,23,553,963,424.5,951.5
Waived,2116,940,79,18,2195,958,2155.5,949.0
Gift,11,972,44,18,55,990,33.0,981.0
cheque,64,972,86,23,150,995,107.0,983.5
(per,159,972,46,23,205,995,182.0,983.5
cheque),214,972,93,23,307,995,260.5,983.5
Via,11,1004,31,18,42,1022,26.5,1013.0
HSBC,54,1004,61,18,115,1022,84.5,1013.0
branches!,125,1000,103,22,228,1022,176.5,1011.0
HK$10,1287,1003,71,21,1358,1024,1322.5,1013.5
HK$8,1814,1003,57,21,1871,1024,1842.5,1013.5
Waived,2298,1004,78,18,2376,1022,2337.0,1013.0
Paper,12,1035,67,23,79,1058,45.5,1046.5
statement®,87,1031,129,22,216,1053,151.5,1042.0
To,10,1067,24,18,34,1085,22.0,1076.0
receive,44,1067,75,18,119,1085,81.5,1076.0
paper,129,1072,60,18,189,1090,159.0,1081.0
statements,197,1070,119,15,316,1085,256.5,1077.5
HK$60_,1187,1066,71,21,1258,1087,1222.5,1076.5
per,1274,1072,33,18,1307,1090,1290.5,1081.0
customer,1315,1070,102,15,1417,1085,1366.0,1077.5
p.a,1426,1072,30,18,1456,1090,1441.0,1081.0
HK$60,2022,1066,70,21,2092,1087,2057.0,1076.5
per,2102,1072,33,18,2135,1090,2118.5,1081.0
customer,2143,1070,102,15,2245,1085,2194.0,1077.5
